titulo,autor,ISBN_13,ISBN_10,ano,paginas,idioma,editora,rating,genero
Sementes Da Liberdade,Thiago Nigro,9786555110500,6555110503,2020,192,português,HarperCollins,5,"Administração / Autoajuda / Economia, Finanças / Negócios e Empreendedorismo "
7 princípios do líder revolucionário,Hugh Blane,9788550303055,8550303054,2018,240,português,Universo,4.1,Administração / Autoajuda / Literatura Estrangeira / Não-ficção / Negócios e Empreendedorismo
Os segredos da mente milionária,T. Harv Eker,9788543109787,8543109787,2020,192,português,,4.2,Administração / Autoajuda / Literatura Estrangeira / Não-ficção / Negócios e Empreendedorismo
A hora da verdade,Jan Carlzon,9788575421567,8575421565,2005,144,português,Sextante,3.7,Administração / Autoajuda / Marketing e Publicidade
Roube Como um Artista,Austin Kleon,9788532528421,8532528422,2013,160,português,Rocco,4.3,Administração / Autoajuda / Marketing e Publicidade / Não-ficção
Mentes Geniais,Alberto Dell'isola,9788550302737,8550302732,2018,320,português,Universo,3.6,Administração / Autoajuda / Não-ficção / Negócios e Empreendedorismo
O Monge e o Executivo,James C. Hunter,9788575421024,8575421026,2004,139,português,Sextante,3.8,Administração / Autoajuda / Negócios e Empreendedorismo
O Monge e o Executivo,James C. Hunter,9788575423226,8575423223,2007,160,português,Sextante,3.8,Administração / Autoajuda / Negócios e Empreendedorismo
O Monge e O Executivo,James C. Hunter,9788575424674,857542467X,2004,144,português,Sextante,3.8,Administração / Autoajuda / Negócios e Empreendedorismo
Trabalhe 4 Horas por Semana,Timothy Ferriss,9788576653547,8576653540,2008,320,português,Planeta,3.9,"Administração / Bem estar e lazer / Economia, Finanças / Não-ficção / Negócios e Empreendedorismo "
O Lobo de Wall Street,Jordan Belfort,9788542202281,8542202287,2014,504,português,Planeta,4.1,"Administração / Biografia, Autobiografia, Memórias / Comunicação / Economia, Finanças / Marketing e Publicidade "
O lobo de Wall Street,Jordan Belfort,9788542219159,8542219155,2020,504,português,,4.1,"Administração / Biografia, Autobiografia, Memórias / Comunicação / Economia, Finanças / Marketing e Publicidade "
O Lobo de Wall Street,Jordan Belfort,9788576653646,8576653648,2008,504,português,Planeta,4.1,"Administração / Biografia, Autobiografia, Memórias / Comunicação / Economia, Finanças / Marketing e Publicidade "
A Arte da Guerra,Sun Tzu,9788525410597,8525410594,2009,214,português,Martin,3.8,"Administração / Biografia, Autobiografia, Memórias / Economia, Finanças / Filosofia / História / História Geral / Literatura Estrangeira / Não-ficção / Negócios e Empreendedorismo / Política / Sociologia "
O Livreiro,Pedro Herz,9788542211795,8542211790,2017,240,português,,4.2,"Administração / Biografia, Autobiografia, Memórias / Literatura Brasileira "
A marca da vitória,Phil Knight,9788550304403,8550304409,2019,240,português,Universo,4.5,"Administração / Biografia, Autobiografia, Memórias / Literatura Estrangeira "
A Loja de Tudo,Brad Stone,9788580574906,8580574900,2014,471,português,Intrínseca,4.2,"Administração / Biografia, Autobiografia, Memórias / Não-ficção / Negócios e Empreendedorismo "
Preciso Saber Se Estou Indo Bem!,Richard L. Williams,9788575421901,8575421905,2005,144,português,Sextante,4.1,Administração / Comunicação
50 ideias de Economia,Edmund Conway,9788542205671,8542205677,2015,279,português,,4.5,"Administração / Comunicação / Economia, Finanças / Ensaios / Literatura Estrangeira / Negócios e Empreendedorismo "
"Adeus, Aposentadoria",Gustavo Cerbasi,9788543100975,8543100976,2014,160,português,Sextante,3.8,"Administração / Economia, Finanças "
Casais Inteligentes Enriquecem Juntos,Gustavo Cerbasi,9788543101439,8543101433,2014,176,português,Sextante,3.9,"Administração / Economia, Finanças "
Do mil ao milhão: sem cortar o cafezinho,Thiago Nigro,9786555110241,6555110244,2020,240,português,HarperCollins,4.2,"Administração / Economia, Finanças "
Do Mil ao Milhão. Sem cortar o cafezinho,Thiago Nigro,9788595083271,8595083274,2018,224,português,HarperCollins,4,"Administração / Economia, Finanças "
Treze Meses Dentro Da TV,Adriano Silva,9788532530684,8532530680,2017,256,português,Rocco,4.1,"Administração / Economia, Finanças / Literatura Brasileira / Negócios e Empreendedorismo "
Sucesso no Trabalho,Morten T. Hansen,9788532531179,8532531172,2019,320,português,Rocco,5,"Administração / Economia, Finanças / Literatura Estrangeira / Negócios e Empreendedorismo "
Como convencer alguém em 90 segundos,Nicholas Boothman,9788579303197,8579303192,2012,200,português,Universo,3.9,"Administração / Economia, Finanças / Literatura Estrangeira / Psicologia "
Warren Buffett e a análise de balanços - Versão Capa Dura,Mary Buffet,9786555640755,6555640758,2020,176,português,Sextante,4.1,"Administração / Economia, Finanças / Negócios e Empreendedorismo "
Pipeline de Liderança,Ram Charan,9788543106052,8543106052,2018,272,português,Sextante,4,Administração / Literatura Brasileira / Não-ficção / Negócios e Empreendedorismo
Apresentações convincentes,Nancy Duarte,9788543105994,8543105994,2018,208,português,,4.2,Administração / Literatura Brasileira / Negócios e Empreendedorismo
Como se tornar um líder servidor,James C. Hunter,9788575422106,8575422103,2006,144,português,Sextante,3.7,Administração / Literatura Estrangeira
Encontre seu porquê,Simon Sinek,9788543106656,8543106656,2018,192,português,Sextante,3.7,Administração / Literatura Estrangeira
O momento de voar,Melinda Gates,9788543107493,8543107490,2019,240,português,Sextante,4.5,Administração / Literatura Estrangeira
Os 10 pecados mortais do marketing,Kotler,9788543106786,8543106788,2019,144,português,,4.2,Administração / Literatura Estrangeira / Marketing e Publicidade
Estamos Cegos,Jürgen Klaric,9788576658863,8576658860,2012,256,português,Planeta,3.6,Administração / Literatura Estrangeira / Marketing e Publicidade / Não-ficção
MARKETING 4.0,KARTAJAYA HERMAWAN,9788543105338,8543105331,2017,208,português,Sextante,4.3,Administração / Literatura Estrangeira / Marketing e Publicidade / Negócios e Empreendedorismo
Vender é humano,Daniel H. Pink,9788543108933,8543108934,2019,256,português,Sextante,3.6,Administração / Literatura Estrangeira / Marketing e Publicidade / Negócios e Empreendedorismo
Originais - Como os Inconformistas Mudam o Mundo,Adam Grant,9788543104980,854310498X,2017,272,português,Sextante,3.9,Administração / Literatura Estrangeira / Não-ficção
A Grande Saída,Angus Deaton,9788551001813,8551001817,2017,336,português,Intrínseca,4,Administração / Literatura Estrangeira / Não-ficção / Negócios e Empreendedorismo
O Tao de Warren Buffett,Mary Buffett,9786555640625,6555640626,2020,192,português,Sextante,3.5,Administração / Literatura Estrangeira / Não-ficção / Negócios e Empreendedorismo
O Tao de Warren Buffett,Mary Buffett,9788575423370,8575423371,2007,160,português,Sextante,3.5,Administração / Literatura Estrangeira / Não-ficção / Negócios e Empreendedorismo
Paixão por Vencer,Jack Welch,9786555110586,6555110589,2020,352,português,HarperCollins,4.1,Administração / Literatura Estrangeira / Não-ficção / Negócios e Empreendedorismo
50 Ideias De Economia Que Você Precisa Conhecer,Edmund Conway,9788542205190,8542205197,2015,216,português,Planeta,4,Administração / Literatura Estrangeira / Negócios e Empreendedorismo
A startup enxuta,Eric Ries,9788543108629,8543108624,2019,288,português,Sextante,4.2,Administração / Literatura Estrangeira / Negócios e Empreendedorismo
A Transição Para o Oceano Azul,Chan Kim W,9788543105567,8543105560,2017,288,português,Sextante,3.7,Administração / Literatura Estrangeira / Negócios e Empreendedorismo
As cartas de Bezos,Steve Anderson,9788543109688,854310968X,2020,256,português,Sextante,4.2,Administração / Literatura Estrangeira / Negócios e Empreendedorismo
Como chegar ao SIM,Bruce Patton,9788543106212,8543106214,2018,224,português,Sextante,4.1,Administração / Literatura Estrangeira / Negócios e Empreendedorismo
Como lidar com a política no trabalho,Karen Dillion,9788543105970,8543105978,2018,176,português,,3.7,Administração / Literatura Estrangeira / Negócios e Empreendedorismo
Desafios da gestão,Harvard Business Review,9788543106441,8543106443,2018,256,português,,3.8,Administração / Literatura Estrangeira / Negócios e Empreendedorismo
Motivação 3.0 - Drive,Daniel H. Pink,9788543107479,8543107474,2019,240,português,Sextante,4.2,Administração / Literatura Estrangeira / Negócios e Empreendedorismo
Negociações eficazes,Jeff Weiss,9788543105956,8543105951,2018,176,português,,3.5,Administração / Literatura Estrangeira / Negócios e Empreendedorismo
O que todo jovem talento precisa aprender,Bruce Tulgan,9788543105192,8543105196,2017,288,português,Sextante,3.2,Administração / Literatura Estrangeira / Negócios e Empreendedorismo
Os segredos do lobo,Jordan Belford,9788542212426,8542212428,2018,288,português,,4.2,Administração / Literatura Estrangeira / Negócios e Empreendedorismo
Previsivelmente irracional,Dan Ariely,9788543109992,854310999X,2020,304,português,Sextante,4.4,Administração / Literatura Estrangeira / Negócios e Empreendedorismo
O Guia do Líder,Chinghua Tang,9788542209846,8542209842,2017,170,português,,3.9,Administração / Não-ficção / Negócios e Empreendedorismo
A História Secreta da Criatividade,Kevin Ashton,9788543103969,8543103967,2016,288,português,Sextante,4.1,Administração / Negócios e Empreendedorismo
Geração de Valor,Flávio Augusto da Silva,9788543101620,854310162X,2014,208,português,Sextante,4.2,Administração / Negócios e Empreendedorismo
Geração de valor 2,Flávio Augusto da Silva,9788543103020,8543103029,2015,208,português,Sextante,4.3,Administração / Negócios e Empreendedorismo
Melhor e Mais Rápido,Jeremy Gutsche,9788532530363,8532530362,2016,240,português,Rocco,3.5,Administração / Negócios e Empreendedorismo
Metanoia,Roberto Adami Tranjan,9788543103310,8543103312,2016,192,português,Sextante,3.7,Administração / Negócios e Empreendedorismo
O MBA da vida real,Jack Welch,9788543103389,854310338X,2016,224,português,Sextante,3.9,Administração / Negócios e Empreendedorismo
O Poder do Encantamento,José Galló,9788542211344,8542211340,2017,272,português,,4.2,Administração / Negócios e Empreendedorismo
Oportunidades Disfarçadas,Carlos Domingos,9788575424858,8575424858,2009,304,português,Sextante,4.5,Administração / Negócios e Empreendedorismo
Oportunidades disfarçadas 2,Carlos Domingos,9788543108261,8543108268,2019,224,português,Sextante,4.1,Administração / Negócios e Empreendedorismo
Scrum: a arte de fazer o dobro do trabalho na metade do tempo,Jeff Sutherland,9788543107165,8543107164,2019,256,português,Sextante,4.1,Administração / Negócios e Empreendedorismo
Sobre Fibras e Gente,Bruno Fernandes,9788543102085,8543102081,2015,272,português,Sextante,3.8,Administração / Negócios e Empreendedorismo
Trabalhe 4 Horas Por Semana (Ampliado e Atualizado),Timothy Ferriss,9788542211566,8542211561,2017,411,português,Planeta,3.9,"Administração / Negócios e Empreendedorismo / Bem estar e lazer / Economia, Finanças / Não-ficção "
Os Segredos da Mente Milionária,T. Harv Eker,9788575422397,8575422391,2006,176,português,Sextante,4.2,Administração / Psicologia / Autoajuda / Negócios e Empreendedorismo / Literatura Estrangeira 
A Miscelânea Original de Schott,Ben Schott,9788598078076,8598078077,2005,160,português,Intrínseca,3.9,Almanaques
Sociedades Secretas,Sérgio Pereira Couto,9788599187869,8599187864,2008,208,português,Universo,3.3,Almanaques
Tudo Sobre Arte,Stephen Farthing,9788599296844,8599296841,2010,576,português,Sextante,4.5,Almanaques / Artes
A História do Cinema Para Quem Tem Pressa,Celso Sabadin,9788558890663,8558890668,2018,200,português,Valentina,4,Almanaques / Artes / Cinema / História / Literatura Brasileira
A Mágica da Arrumação,Marie Kondo,9788543102092,854310209X,2015,160,português,Sextante,4,Almanaques / Autoajuda / Literatura Estrangeira
Tudo Sobre Cinema,Philip Kemp,9788575426685,8575426680,2011,576,português,Sextante,4.5,Almanaques / Cinema
Os Elefantes Não Esquecem,Agatha Christie,9788520936528,8520936520,2014,168,português,Nova,3.9,Almanaques / Crime / Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério
Animais Fantásticos E Onde Habitam,Michael Kogge,9788579803055,8579803055,2016,144,português,Rocco,4,Almanaques / Fantasia / Ficção / Literatura Estrangeira
Animais Fantásticos E Onde Habitam,Michael Kogge,9788579803048,8579803047,2016,96,português,Rocco,4,Almanaques / Fantasia / Literatura Estrangeira
O Livro de Ouro das Revoluções,Mark Almond,9788595082335,8595082332,2018,272,português,HarperCollins,3.8,Almanaques / História Geral / Literatura Estrangeira / Política
50 ideias de Química que você precisa conhecer,Hayley Birch,9788542213621,8542213629,2018,216,português,,3.9,Almanaques / Literatura Estrangeira
Enzo,Garth Stein,9789897773075,989777307X,2019,352,português,,3.5,Animais de Estimação
O Encantador de Cães,Cesar Millan,9788576860198,8576860198,2007,266,português,Verus,4.1,Animais de Estimação
Obrigado por existir,BTG,9788575426456,8575426451,2011,80,português,Sextante,4.3,Animais de Estimação
Obrigado por Existir (de Bolso),BTG,9788575427156,8575427156,2012,80,português,Sextante,4.3,Animais de Estimação
Rin Tin Tin,Susan Orlean,9788565859066,8565859061,2013,308,português,Valentina,3.9,Animais de Estimação / Aventura / Drama / Literatura Estrangeira
Marley & Eu,John Grogan,9788595087132,859508713X,2020,288,português,HarperCollins,4.3,"Animais de Estimação / Biografia, Autobiografia, Memórias / Drama / Ficção / Literatura Estrangeira / Não-ficção / Romance "
Marley & Eu,John Grogan,9788569514664,8569514662,2016,304,português,HarperCollins,4.3,"Animais de Estimação / Biografia, Autobiografia, Memórias / Ficção / Literatura Estrangeira / Não-ficção / Romance / Drama "
Procurando Gobi,Dion Leonard,9788595083363,8595083363,2018,256,português,HarperCollins,4.3,"Animais de Estimação / Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção "
Ache Momo de costa a costa,Andrew Knapp,9788580577204,8580577209,2015,144,português,Intrínseca,4.5,Animais de Estimação / Entretenimento
Cachorros Submarinos,Seth Casteel,9788580576405,8580576407,2014,144,português,Intrínseca,4.5,Animais de Estimação / Literatura Estrangeira
A Arquitetura da Felicidade,Alain de Botton,9788532521606,8532521606,2007,271,português,Rocco,4.2,Arquitetura e Decoração
Da Bauhaus ao Nosso Caos,Tom Wolfe,9788532500199,8532500196,1991,103,português,Rocco,4.3,Arquitetura e Decoração
Tudo sobre Arquitetura,Denna Jones,9788543101262,8543101263,2015,576,português,Sextante,4.4,Arquitetura e Decoração
Barroco,Affonso Romano de Sant'Anna,9788532511911,8532511910,2000,220,português,Rocco,5,Arquitetura e Decoração / Artes / História
Arte Como Terapia,Alain de Botton,9788580575699,8580575699,2014,240,português,Intrínseca,4.1,Arquitetura e Decoração / Literatura Estrangeira
1001 Discos Para Ouvir Antes de Morrer,Robert Dimery,9788599296264,8599296264,2007,960,português,Sextante,4.2,Artes
Criaturas Mágicas de Harry Potter,Adam Raiti,9788550300351,8550300357,2016,90,português,Universo,4.8,Artes
Curso Prático de Bateria,Lael Medina,9788579300592,8579300592,2010,100,português,Universo,5,Artes
Fabricando chocolate,Alice Granato,9788543102917,854310291X,2015,168,português,Sextante,4.6,Artes
Filhotes submarinos,Seth Casteel,9788580577136,8580577136,2015,128,português,Intrínseca,4.6,Artes
"Helio Oiticica, a Asa Branca do Extase",Gonzalo Aguilar,9788569474005,8569474008,2016,208,português,Rocco,3.5,Artes
Ligando os 1000 Pontos: Animais,Thomas Pavitte,9788543102511,8543102510,2015,48,português,Sextante,4.6,Artes
Ligando Os 1000 Pontos: Cidades,Thomas Pavitte,9788543102542,8543102545,2015,48,português,Sextante,4.2,Artes
Ligando Os 1000 Pontos: Obras de Arte,Thomas Pavitte,9788543102535,8543102537,2015,48,português,Sextante,4.6,Artes
Ligando Os 1000 Pontos: Personalidades,Thomas Pavitte,9788543102528,8543102529,2015,48,português,Sextante,4.8,Artes
Livro de Colorir - Turma da Mônica Jovem,Maurício de Souza,9788543102689,8543102685,2015,96,português,Sextante,4.4,Artes
Modos de Ver,John Berger,9788532508676,8532508677,1999,168,português,Rocco,3.8,Artes
O enigma vazio,Affonso Romano de Sant'Anna,9788532523679,8532523676,2008,335,português,Rocco,4.3,Artes
Paraíso tropical,Millie Marotta,9788543103204,8543103207,2016,96,português,Sextante,4.3,Artes
Reino Animal para colorir e destacar,Millie Marotta,9788543102382,8543102383,2015,30,português,Sextante,4.2,Artes
Segredos de Paris,Zoé de Las Cases,9788543102337,8543102332,2015,96,português,,4.2,Artes
Termine Este Livro,Keri Smith,9788580575729,8580575729,2014,208,português,Intrínseca,3.4,Artes
Turma da Mônica - Livro de colorir,Mauricio de Sousa,9788543102696,8543102693,2015,96,português,Sextante,4.6,Artes
Um cão chamado Jimmy,Rafael Mantesso,9788580578065,858057806X,2015,168,português,Intrínseca,4.4,Artes / Autoajuda
Gostos adquiridos,Peter Mayle,9788532506436,8532506437,1996,172,português,Rocco,3.9,"Artes / Aventura / Bem estar e lazer / Comunicação / Crônicas / Culinária e Gastronomia / Entretenimento / Ficção / História / Literatura Estrangeira / Moda, Estilo e Beleza / Não-ficção / Sociologia / Turismo e Viagens "
Quattrocento,James McKean,9788532516466,8532516467,2003,294,português,Rocco,3,Artes / Aventura / Drama / Entretenimento / Esoterismo / Ficção / Ficção científica / História / Literatura Estrangeira / Romance / Suspense e Mistério
Animais Fantásticos e Onde Habitam - Personagens e Lugares Mágicos,HarperCollins,9788569809760,856980976X,2016,80,português,HarperCollins,4.3,Artes / Bem estar e lazer
Floresta Encantada,Johanna Basford,9788543101958,8543101956,2015,84,português,Sextante,4.4,Artes / Bem estar e lazer
Jardim Secreto,Johanna Basford,9788543101637,8543101638,2014,96,português,Sextante,4.4,Artes / Bem estar e lazer
O Feitiço Do Tempo,Daria Song,9788543102399,8543102391,2015,84,português,Sextante,4.3,Artes / Bem estar e lazer
O livro de colorir das criaturas mágicas de Harry Potter,Insight Editions,9788550300399,855030039X,2016,80,português,Universo,4.2,Artes / Bem estar e lazer
Oceano Perdido,Johanna Basford,9788543102429,8543102421,2015,80,português,Sextante,4.6,Artes / Bem estar e lazer
Selva Mágica,Johanna Basford,9788543103822,8543103827,2016,88,português,Sextante,4.5,Artes / Bem estar e lazer / Entretenimento
Como desenhar paraísos encantados,Johanna Basford,9786555640076,6555640073,2020,96,português,Sextante,4.3,Artes / Bem estar e lazer / Literatura Estrangeira
Robin Williams,Emily Herbert,9788579307584,8579307589,2014,240,português,Universo,3.8,"Artes / Biografia, Autobiografia, Memórias / Cinema / Literatura Estrangeira "
Sonetos,Bocage,9788544002520,8544002528,2019,135,português,Martin,3.7,"Artes / Biografia, Autobiografia, Memórias / Crônicas / Literatura Estrangeira / Poemas, poesias "
A Cidade Solitária,Olivia Laing,9788569474302,856947430X,2017,304,português,Rocco,4.3,"Artes / Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção "
O Outro Lado da Noite: Filme Noir,A.C. Gomes de Mattos,9788532511997,8532511996,2001,255,português,Rocco,3.5,Artes / Cinema
Os Pássaros,Camille Paglia,9788532510709,8532510701,1999,132,português,Rocco,4,Artes / Cinema / Comunicação
A Sagração da Primavera,Modris Eksteins,9788532500786,8532500781,1992,502,português,Rocco,4.8,Artes / Comunicação / História / Não-ficção / Política / Sociologia
O Design Da Sua Vida,Bill Burnett,9788532530707,8532530702,2017,312,português,Rocco,4,Artes / Comunicação / Informática e Tecnologia / Literatura Estrangeira
K-Pop - Além da sobrevivência,Babi Dewet,9788582355879,8582355874,2019,160,português,Gutenberg,4.4,Artes / Comunicação / Jovem adulto / Não-ficção
Mostre seu trabalho,Austin Kleon,9788532530905,8532530907,2017,224,português,Rocco,4.3,Artes / Comunicação / Literatura Estrangeira
A África recontada para crianças,Avani Souza Silva,9788544002797,854400279X,2020,120,português,Martin,4.1,Artes / Contos / Crônicas / Educação / Ficção / História Geral / Literatura Estrangeira
A Tragédia de Hamlet,William Shakespeare,9786586014600,6586014603,2020,214,português,Martin,4.2,Artes / Drama / Ficção / Literatura Estrangeira
A Tragédia de Macbeth,William Shakespeare,9788572324830,8572324836,2009,144,português,Martin,4.1,Artes / Drama / Ficção / Literatura Estrangeira
Hamlet,William Shakespeare,9788599187456,8599187457,2008,188,português,Universo,4.2,Artes / Drama / Ficção / Literatura Estrangeira
O Transponível Super Empty,Luciana Pessanha,9788576650171,8576650177,2004,125,português,Planeta,3.7,"Artes / Drama / HQ, comics, mangá "
Bebês submarinos,Seth Casteel,9788580577556,8580577551,2015,112,português,Intrínseca,4.5,Artes / Entretenimento
O Livro das Ideias Brilhantes,The Brothers McLeod,9788558890106,8558890102,2016,192,português,Valentina,4.3,Artes / Entretenimento / Infantojuvenil
Tudo Sobre Fotografia,Juliet Hacking,9788575428252,857542825X,2012,576,português,Sextante,4.5,Artes / Fotografia
A Batalha do Avaí,Lilia Moritz Schwarcz,9788575429969,8575429965,2013,174,português,Sextante,4.8,Artes / História do Brasil
Guerra e Spray,Banksy,9788580572582,8580572584,2012,240,português,Intrínseca,4.5,Artes / Literatura Estrangeira
O Dominó Preto,Florbela Espanca,9788572327992,8572327991,2010,128,português,Martin,4.3,Artes / Literatura Estrangeira
Paris versus New York,Vahram Muratyan,9788580572674,8580572673,2012,226,português,Intrínseca,4.3,Artes / Literatura Estrangeira
